year,geo_name,geo,university_name,university,grads_total
2014,"Los Angeles County, CA","05000US06037","Cerritos College","111887",1812
2014,"Los Angeles County, CA","05000US06037","Charles R Drew University of Medicine and Science","111966",228
2014,"Los Angeles County, CA","05000US06037","Citrus College","112172",2379
2014,"Los Angeles County, CA","05000US06037","Claremont Graduate University","112251",630
2014,"Los Angeles County, CA","05000US06037","Claremont McKenna College","112260",392
2014,"Los Angeles County, CA","05000US06037","Western University of Health Sciences","112525",956
2014,"Los Angeles County, CA","05000US06037","Columbia College-Hollywood","112570",74
2014,"Los Angeles County, CA","05000US06037","El Camino College-Compton Center","112686",358
2014,"Los Angeles County, CA","05000US06037","East Los Angeles College","113856",3740
2014,"Los Angeles County, CA","05000US06037","El Camino Community College District","113980",2443
2014,"Los Angeles County, CA","05000US06037","Elegance International","114044",89
2014,"Los Angeles County, CA","05000US06037","Marinello Schools of Beauty-Burbank","114071",275
2014,"Los Angeles County, CA","05000US06037","Emperor's College of Traditional Oriental Medicine","114114",47
2014,"Los Angeles County, CA","05000US06037","Fashion Institute of Design & Merchandising-Los Angeles","114354",1754
2014,"Los Angeles County, CA","05000US06037","Redondo Beach Beauty College","114637",63
2014,"Los Angeles County, CA","05000US06037","Fuller Theological Seminary in California","114840",702
2014,"Los Angeles County, CA","05000US06037","Glendale Community College","115001",762
2014,"Los Angeles County, CA","05000US06037","Glendale Career College","115010",190
2014,"Los Angeles County, CA","05000US06037","Harvey Mudd College","115409",191
2014,"Los Angeles County, CA","05000US06037","Toni & Guy Hairdressing Academy-Santa Monica","116350",186
2014,"Los Angeles County, CA","05000US06037","ITT Technical Institute-San Dimas","116475",184
2014,"Los Angeles County, CA","05000US06037","American Jewish University","116846",59
2014,"Los Angeles County, CA","05000US06037","Life Pacific College","117104",136
2014,"Los Angeles County, CA","05000US06037","University of La Verne","117140",2749
2014,"Los Angeles County, CA","05000US06037","Lancaster Beauty School","117238",106
2014,"Los Angeles County, CA","05000US06037","Long Beach City College","117645",2152
2014,"Los Angeles County, CA","05000US06037","Southern California University of Health Sciences","117672",167
2014,"Los Angeles County, CA","05000US06037","Los Angeles Harbor College","117690",836
2014,"Los Angeles County, CA","05000US06037","Los Angeles Pierce College","117706",1827
2014,"Los Angeles County, CA","05000US06037","Los Angeles Southwest College","117715",629
2014,"Los Angeles County, CA","05000US06037","Los Angeles Trade Technical College","117724",1624
2014,"Los Angeles County, CA","05000US06037","Los Angeles Valley College","117733",1677
2014,"Los Angeles County, CA","05000US06037","The Master's College and Seminary","117751",369
2014,"Los Angeles County, CA","05000US06037","Los Angeles City College","117788",1275
2014,"Los Angeles County, CA","05000US06037","Los Angeles County College of Nursing and Allied Health","117803",81
2014,"Los Angeles County, CA","05000US06037","Los Angeles Mission College","117867",1287
2014,"Los Angeles County, CA","05000US06037","Loyola Marymount University","117946",3012
2014,"Los Angeles County, CA","05000US06037","Marinello Schools of Beauty-Los Angeles","118356",1401
2014,"Los Angeles County, CA","05000US06037","Marymount California University","118541",105
2014,"Los Angeles County, CA","05000US06037","Kaplan College-North Hollywood","118967",500
2014,"Los Angeles County, CA","05000US06037","Mt San Antonio College","119164",3302
2014,"Los Angeles County, CA","05000US06037","Mount St Mary's College","119173",947
2014,"Los Angeles County, CA","05000US06037","Musicians Institute","119270",678
2014,"Los Angeles County, CA","05000US06037","Everest College-Reseda","119359",483
2014,"Los Angeles County, CA","05000US06037","Everest College-Gardena","119456",337
2014,"Los Angeles County, CA","05000US06037","Everest College-Alhambra","119465",426
2014,"Los Angeles County, CA","05000US06037","Newberry School of Beauty","119845",123
2014,"Los Angeles County, CA","05000US06037","North-West College-Pomona","120069",108
2014,"Los Angeles County, CA","05000US06037","North-West College-West Covina","120078",268
2014,"Los Angeles County, CA","05000US06037","North-West College-Pasadena","120087",117
2014,"Los Angeles County, CA","05000US06037","Occidental College","120254",559
2014,"Los Angeles County, CA","05000US06037","Otis College of Art and Design","120403",235
2014,"Los Angeles County, CA","05000US06037","Pacific Oaks College","120768",400
2014,"Los Angeles County, CA","05000US06037","Pacific States University","120838",75
2014,"Los Angeles County, CA","05000US06037","Pasadena City College","121044",3244
2014,"Los Angeles County, CA","05000US06037","Pepperdine University","121150",2356
2014,"Los Angeles County, CA","05000US06037","Pitzer College","121257",332
2014,"Los Angeles County, CA","05000US06037","Pomona College","121345",444
2014,"Los Angeles County, CA","05000US06037","Westwood College-South Bay","121381",258
2014,"Los Angeles County, CA","05000US06037","Professional Institute of Beauty","121433",64
2014,"Los Angeles County, CA","05000US06037","Pardee RAND Graduate School","121628",43
2014,"Los Angeles County, CA","05000US06037","Rio Hondo College","121886",1260
2014,"Los Angeles County, CA","05000US06037","Rosemead Beauty School","121992",144
2014,"Los Angeles County, CA","05000US06037","Dongguk University-Los Angeles","122117",72
2014,"Los Angeles County, CA","05000US06037","Westwood College-Los Angeles","122843",869
