year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2013,"New York, NY","16000US3651000","Multicultural Education","130202","Master's Degree","7",15
2014,"New York, NY","16000US3651000","Multicultural Education","130202","Master's Degree","7",12
2015,"New York, NY","16000US3651000","Curriculum & Instruction","130301","Master's Degree","7",57
2013,"New York, NY","16000US3651000","Curriculum & Instruction","130301","Master's Degree","7",55
2014,"New York, NY","16000US3651000","Curriculum & Instruction","130301","Master's Degree","7",57
2015,"New York, NY","16000US3651000","General Educational Leadership & Administration","130401","Master's Degree","7",357
2013,"New York, NY","16000US3651000","General Educational Leadership & Administration","130401","Master's Degree","7",304
2014,"New York, NY","16000US3651000","General Educational Leadership & Administration","130401","Master's Degree","7",263
2015,"New York, NY","16000US3651000","Educational, Instructional, & Curriculum Supervision","130404","Master's Degree","7",172
2013,"New York, NY","16000US3651000","Educational, Instructional, & Curriculum Supervision","130404","Master's Degree","7",233
2014,"New York, NY","16000US3651000","Educational, Instructional, & Curriculum Supervision","130404","Master's Degree","7",204
2015,"New York, NY","16000US3651000","Higher Education & Administration","130406","Master's Degree","7",80
2013,"New York, NY","16000US3651000","Higher Education & Administration","130406","Master's Degree","7",105
2014,"New York, NY","16000US3651000","Higher Education & Administration","130406","Master's Degree","7",88
2013,"New York, NY","16000US3651000","Elementary & Middle School Administration","130408","Master's Degree","7",22
2015,"New York, NY","16000US3651000","Urban Education & Leadership","130410","Master's Degree","7",12
2013,"New York, NY","16000US3651000","Urban Education & Leadership","130410","Master's Degree","7",8
2014,"New York, NY","16000US3651000","Urban Education & Leadership","130410","Master's Degree","7",19
2015,"New York, NY","16000US3651000","Superintendency & Educational System Administration","130411","Master's Degree","7",63
2013,"New York, NY","16000US3651000","Superintendency & Educational System Administration","130411","Master's Degree","7",126
2014,"New York, NY","16000US3651000","Superintendency & Educational System Administration","130411","Master's Degree","7",69
2015,"New York, NY","16000US3651000","Other Educational Administration & Supervision","130499","Master's Degree","7",56
2014,"New York, NY","16000US3651000","Other Educational Administration & Supervision","130499","Master's Degree","7",48
2015,"New York, NY","16000US3651000","Educational & Instructional Technology","130501","Master's Degree","7",66
2013,"New York, NY","16000US3651000","Educational & Instructional Technology","130501","Master's Degree","7",29
2014,"New York, NY","16000US3651000","Educational & Instructional Technology","130501","Master's Degree","7",62
2015,"New York, NY","16000US3651000","Educational Statistics & Research Methods","130603","Master's Degree","7",16
2013,"New York, NY","16000US3651000","Educational Statistics & Research Methods","130603","Master's Degree","7",13
2014,"New York, NY","16000US3651000","Educational Statistics & Research Methods","130603","Master's Degree","7",13
2015,"New York, NY","16000US3651000","International & Comparative Education","130701","Master's Degree","7",132
2013,"New York, NY","16000US3651000","International & Comparative Education","130701","Master's Degree","7",62
2014,"New York, NY","16000US3651000","International & Comparative Education","130701","Master's Degree","7",141
2015,"New York, NY","16000US3651000","Social & Philosophical Foundations of Education","130901","Master's Degree","7",48
2013,"New York, NY","16000US3651000","Social & Philosophical Foundations of Education","130901","Master's Degree","7",18
