year,geo_name,geo,university_name,university,grads_men,grads_women
2013,"New York, NY","16000US3651000","Yeshiva of the Telshe Alumni","431983",1,0
2013,"New York, NY","16000US3651000","New York Automotive and Diesel Institute","440262",343,8
2013,"New York, NY","16000US3651000","Metropolitan Learning Institute","441575",65,326
2013,"New York, NY","16000US3651000","Career Institute of Health and Technology","443553",77,120
2013,"New York, NY","16000US3651000","Beis Medrash Heichal Dovid","444413",8,0
2013,"New York, NY","16000US3651000","Carsten Institute of Cosmetology","447430",26,85
2013,"New York, NY","16000US3651000","Elite Academy of Beauty Arts","448053",5,60
2013,"New York, NY","16000US3651000","Aveda Institute-New York","448071",20,218
2013,"New York, NY","16000US3651000","Brittany Beauty School","449311",2,137
2013,"New York, NY","16000US3651000","Lincoln Technical Institute-Whitestone","449320",452,13
2013,"New York, NY","16000US3651000","Ace Computer Training Center","449676",42,13
2013,"New York, NY","16000US3651000","New Age Training","449685",17,248
2013,"New York, NY","16000US3651000","Talmudical Seminary of Bobov","451404",22,0
2013,"New York, NY","16000US3651000","New York Methodist Hospital Center for Allied Health Education","451413",116,68
2013,"New York, NY","16000US3651000","Institute of Allied Medical Professions-New York","451422",12,63
2013,"New York, NY","16000US3651000","Micropower Career Institute","451440",27,197
2013,"New York, NY","16000US3651000","The Kings College","454184",30,45
2013,"New York, NY","16000US3651000","Career School of NY","455220",1,41
2013,"New York, NY","16000US3651000","Yeshiva of Machzikai Hadas","455257",38,0
2013,"New York, NY","16000US3651000","EDP School of Computer Programming","457794",12,33
2013,"New York, NY","16000US3651000","New York Medical Career Training Center","457800",8,118
2013,"New York, NY","16000US3651000","Institute of Culinary Education","457819",214,352
2013,"New York, NY","16000US3651000","New Life Business Institute","457828",32,106
2013,"New York, NY","16000US3651000","Academy of Cosmetology and Esthetics NYC","457855",8,74
2013,"New York, NY","16000US3651000","Gerstner Sloan-Kettering Graduate School of Biomedical Sciences","458511",2,4
2013,"New York, NY","16000US3651000","SAE Institute of Technology-New York","459462",205,24
2013,"New York, NY","16000US3651000","Hair Design Institute at Fifth Avenue-New York","460446",16,153
2013,"New York, NY","16000US3651000","Mildred Elley-New York Campus","461014",26,202
2013,"New York, NY","16000US3651000","The Collective School Of Music","461157",41,5
2013,"New York, NY","16000US3651000","Manhattan Institute","461351",357,1320
2013,"New York, NY","16000US3651000","Atelier Esthetique Institute of Esthetics","461768",0,142
2013,"New York, NY","16000US3651000","Relay Graduate School of Education","475033",0,0
2013,"New York, NY","16000US3651000","Christie's Education","475510",5,29
2013,"New York, NY","16000US3651000","Stella and Charles Guttman Community College","475565",0,0
2013,"New York, NY","16000US3651000","Miami Ad School-New York","476355",7,6
2013,"New York, NY","16000US3651000","Access Careers","476504",101,570
2013,"New York, NY","16000US3651000","Digital Film Academy","480028",33,15
2013,"New York, NY","16000US3651000","Sotheby's Institute of Art-NY","481094",11,107
2013,"New York, NY","16000US3651000","American Academy of Personal Training","481164",130,110
2013,"New York, NY","16000US3651000","Arrojo Cosmetology School","482194",8,49
2013,"New York, NY","16000US3651000","DeVry College of New York","482413",294,173
2014,"New York, NY","16000US3651000","Tri-State College of Acupuncture","130581",8,21
2014,"New York, NY","16000US3651000","Vaughn College of Aeronautics and Technology","188340",347,47
2014,"New York, NY","16000US3651000","Globe Institute of Technology","188465",65,45
2014,"New York, NY","16000US3651000","Allen School-Brooklyn","188650",36,305
2014,"New York, NY","16000US3651000","The Ailey School","188669",8,35
2014,"New York, NY","16000US3651000","American Academy of Dramatic Arts-New York","188678",29,48
2014,"New York, NY","16000US3651000","American Academy McAllister Institute of Funeral Service","188687",42,50
2014,"New York, NY","16000US3651000","Joffrey Ballet School","188696",0,3
2014,"New York, NY","16000US3651000","American Musical and Dramatic Academy","188854",159,323
2014,"New York, NY","16000US3651000","Apex Technical School","188890",925,13
2014,"New York, NY","16000US3651000","Associated Beth Rivkah Schools","188942",0,96
2014,"New York, NY","16000US3651000","Bank Street College of Education","189015",52,299
2014,"New York, NY","16000US3651000","Barnard College","189097",0,618
2014,"New York, NY","16000US3651000","Berk Trade and Business School","189219",224,5
2014,"New York, NY","16000US3651000","Berkeley College-New York","189228",382,824
2014,"New York, NY","16000US3651000","Beth Hatalmud Rabbinical College","189264",5,0
