year,geo_name,geo,university_name,university,grads_total
2014,"New York, NY","16000US3651000","CUNY LaGuardia Community College","190628",2450
2014,"New York, NY","16000US3651000","CUNY Lehman College","190637",2797
2014,"New York, NY","16000US3651000","CUNY Medgar Evers College","190646",1014
2014,"New York, NY","16000US3651000","CUNY New York City College of Technology","190655",2095
2014,"New York, NY","16000US3651000","CUNY Queens College","190664",4799
2014,"New York, NY","16000US3651000","CUNY Queensborough Community College","190673",1973
2014,"New York, NY","16000US3651000","CUNY School of Law at Queens College","190682",150
2014,"New York, NY","16000US3651000","CUNY York College","190691",1061
2014,"New York, NY","16000US3651000","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","190752",6
2014,"New York, NY","16000US3651000","Fashion Institute of Technology","191126",3496
2014,"New York, NY","16000US3651000","Fordham University","191241",5076
2014,"New York, NY","16000US3651000","The International Culinary Center","191287",630
2014,"New York, NY","16000US3651000","Gemological Institute of America-New York","191311",239
2014,"New York, NY","16000US3651000","The General Theological Seminary","191320",36
2014,"New York, NY","16000US3651000","Helene Fuld College of Nursing","191597",241
2014,"New York, NY","16000US3651000","Institute of Design and Construction","191764",11
2014,"New York, NY","16000US3651000","Institute of Audio Research","191834",252
2014,"New York, NY","16000US3651000","Jewish Theological Seminary of America","192040",111
2014,"New York, NY","16000US3651000","The Juilliard School","192110",288
2014,"New York, NY","16000US3651000","LIM College","192271",367
2014,"New York, NY","16000US3651000","LIU Brooklyn","192439",1903
2014,"New York, NY","16000US3651000","Long Island Business Institute","192509",287
2014,"New York, NY","16000US3651000","Machzikei Hadath Rabbinical College","192624",16
2014,"New York, NY","16000US3651000","Mandl School-The College of Allied Health","192688",318
2014,"New York, NY","16000US3651000","Manhattan College","192703",862
2014,"New York, NY","16000US3651000","Manhattan School of Music","192712",342
2014,"New York, NY","16000US3651000","Marymount Manhattan College","192864",429
2014,"New York, NY","16000US3651000","Memorial Hospital School of Radiation Therapy Technology","192970",5
2014,"New York, NY","16000US3651000","Mesivta Torah Vodaath Rabbinical Seminary","193052",32
2014,"New York, NY","16000US3651000","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech","193061",2
2014,"New York, NY","16000US3651000","Mesivtha Tifereth Jerusalem of America","193070",14
2014,"New York, NY","16000US3651000","Midway Paris Beauty School","193186",42
2014,"New York, NY","16000US3651000","Mirrer Yeshiva Cent Institute","193247",28
2014,"New York, NY","16000US3651000","Monroe College","193308",2694
2014,"New York, NY","16000US3651000","College of Mount Saint Vincent","193399",426
2014,"New York, NY","16000US3651000","Icahn School of Medicine at Mount Sinai","193405",236
2014,"New York, NY","16000US3651000","Neighborhood Playhouse School of the Theater","193609",23
2014,"New York, NY","16000US3651000","The New School","193654",3157
2014,"New York, NY","16000US3651000","Star Career Academy-New York","193760",461
2014,"New York, NY","16000US3651000","New York Law School","193821",464
2014,"New York, NY","16000US3651000","New York School for Medical and Dental Assistants","193858",352
2014,"New York, NY","16000US3651000","New York Theological Seminary","193894",127
2014,"New York, NY","16000US3651000","New York University","193900",16689
2014,"New York, NY","16000US3651000","New York College of Podiatric Medicine","194073",81
2014,"New York, NY","16000US3651000","New York School of Interior Design","194116",184
2014,"New York, NY","16000US3651000","Pace University-New York","194310",3394
2014,"New York, NY","16000US3651000","Plaza College","194499",270
2014,"New York, NY","16000US3651000","Pratt Institute-Main","194578",1369
2014,"New York, NY","16000US3651000","Professional Business College","194611",397
2014,"New York, NY","16000US3651000","Rabbinical Academy Mesivta Rabbi Chaim Berlin","194657",58
2014,"New York, NY","16000US3651000","Rabbinical College Bobover Yeshiva Bnei Zion","194666",61
2014,"New York, NY","16000US3651000","Rabbinical College of Ch'san Sofer New York","194675",5
2014,"New York, NY","16000US3651000","Rabbinical Seminary M'kor Chaim","194718",1
2014,"New York, NY","16000US3651000","Rabbinical Seminary of America","194763",98
2014,"New York, NY","16000US3651000","Rockefeller University","195049",32
2014,"New York, NY","16000US3651000","Empire Beauty School-Manhattan","195067",453
2014,"New York, NY","16000US3651000","St Francis College","195173",535
2014,"New York, NY","16000US3651000","Saint Joseph's College-New York","195544",1619
2014,"New York, NY","16000US3651000","St Paul's School of Nursing-Staten Island","195784",285
2014,"New York, NY","16000US3651000","St John's University-New York","195809",4211
2014,"New York, NY","16000US3651000","New York Career Institute","195845",134
2014,"New York, NY","16000US3651000","SUNY College of Optometry","196228",84
2014,"New York, NY","16000US3651000","SUNY Downstate Medical Center","196255",617
2014,"New York, NY","16000US3651000","SUNY Maritime College","196291",406
2014,"New York, NY","16000US3651000","Swedish Institute a College of Health Sciences","196389",240
2014,"New York, NY","16000US3651000","Talmudical Seminary Oholei Torah","196431",7
2014,"New York, NY","16000US3651000","Teachers College at Columbia University","196468",2056
2014,"New York, NY","16000US3651000","Technical Career Institutes","196477",916
2014,"New York, NY","16000US3651000","Torah Temimah Talmudical Seminary","196583",10
2014,"New York, NY","16000US3651000","Touro College","196592",4958
2014,"New York, NY","16000US3651000","Sanford-Brown Institute-New York","196857",799
2014,"New York, NY","16000US3651000","Union Theological Seminary in the City of New York","196884",64
2014,"New York, NY","16000US3651000","United Talmudical Seminary","197018",205
2014,"New York, NY","16000US3651000","School of Visual Arts","197151",1105
2014,"New York, NY","16000US3651000","Wagner College","197197",699
2014,"New York, NY","16000US3651000","Wood Tobe-Coburn School","197522",274
2014,"New York, NY","16000US3651000","Yeshiva Karlin Stolin","197601",14
2014,"New York, NY","16000US3651000","Yeshivat Mikdash Melech","197610",4
