year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2013,"Los Angeles County, CA","05000US06037","General East Asian Languages, Literatures, & Linguistics","160300","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","Other East Asian Languages, Literatures, & Linguistics","160399","Research Doctorate","17",5
2013,"Los Angeles County, CA","05000US06037","Other East Asian Languages, Literatures, & Linguistics","160399","Research Doctorate","17",10
2014,"Los Angeles County, CA","05000US06037","Other East Asian Languages, Literatures, & Linguistics","160399","Research Doctorate","17",11
2015,"Los Angeles County, CA","05000US06037","General Slavic Languages, Literatures, & Linguistics","160400","Research Doctorate","17",3
2013,"Los Angeles County, CA","05000US06037","General Slavic Languages, Literatures, & Linguistics","160400","Research Doctorate","17",4
2014,"Los Angeles County, CA","05000US06037","General Slavic Languages, Literatures, & Linguistics","160400","Research Doctorate","17",3
2013,"Los Angeles County, CA","05000US06037","General Germanic Languages, Literatures, & Linguistics","160500","Research Doctorate","17",1
2014,"Los Angeles County, CA","05000US06037","General Germanic Languages, Literatures, & Linguistics","160500","Research Doctorate","17",1
2015,"Los Angeles County, CA","05000US06037","French Language & Literature","160901","Research Doctorate","17",5
2013,"Los Angeles County, CA","05000US06037","French Language & Literature","160901","Research Doctorate","17",5
2014,"Los Angeles County, CA","05000US06037","French Language & Literature","160901","Research Doctorate","17",4
2015,"Los Angeles County, CA","05000US06037","Italian Language & Literature","160902","Research Doctorate","17",1
2013,"Los Angeles County, CA","05000US06037","Italian Language & Literature","160902","Research Doctorate","17",4
2014,"Los Angeles County, CA","05000US06037","Italian Language & Literature","160902","Research Doctorate","17",4
2015,"Los Angeles County, CA","05000US06037","General Hispanic & Latin American Languages, Literatures, & Linguistics","160908","Research Doctorate","17",3
2013,"Los Angeles County, CA","05000US06037","General Hispanic & Latin American Languages, Literatures, & Linguistics","160908","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","Other Middle/Near Eastern & Semetic Languages, Literatures, & Linguistics","161199","Research Doctorate","17",6
2013,"Los Angeles County, CA","05000US06037","Other Middle/Near Eastern & Semetic Languages, Literatures, & Linguistics","161199","Research Doctorate","17",2
2014,"Los Angeles County, CA","05000US06037","Other Middle/Near Eastern & Semetic Languages, Literatures, & Linguistics","161199","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","General Classical Language, Literature, & Linguistics","161200","Research Doctorate","17",4
2013,"Los Angeles County, CA","05000US06037","General Classical Language, Literature, & Linguistics","161200","Research Doctorate","17",3
2014,"Los Angeles County, CA","05000US06037","General Classical Language, Literature, & Linguistics","161200","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","Other Foreign Languages, Literatures, & Linguistics","169999","Research Doctorate","17",7
