year,geo_name,geo,university_name,university,grads_men,grads_women
2014,"Los Angeles County, CA","05000US06037","Emperor's College of Traditional Oriental Medicine","114114",12,35
2014,"Los Angeles County, CA","05000US06037","Fashion Institute of Design & Merchandising-Los Angeles","114354",162,1592
2014,"Los Angeles County, CA","05000US06037","Redondo Beach Beauty College","114637",9,54
2014,"Los Angeles County, CA","05000US06037","Fuller Theological Seminary in California","114840",430,272
2014,"Los Angeles County, CA","05000US06037","Glendale Community College","115001",223,539
2014,"Los Angeles County, CA","05000US06037","Glendale Career College","115010",44,146
2014,"Los Angeles County, CA","05000US06037","Harvey Mudd College","115409",101,90
2014,"Los Angeles County, CA","05000US06037","Toni & Guy Hairdressing Academy-Santa Monica","116350",21,165
2014,"Los Angeles County, CA","05000US06037","ITT Technical Institute-San Dimas","116475",153,31
2014,"Los Angeles County, CA","05000US06037","American Jewish University","116846",33,26
2014,"Los Angeles County, CA","05000US06037","Life Pacific College","117104",65,71
2014,"Los Angeles County, CA","05000US06037","University of La Verne","117140",1035,1714
2014,"Los Angeles County, CA","05000US06037","Lancaster Beauty School","117238",23,83
2014,"Los Angeles County, CA","05000US06037","Long Beach City College","117645",981,1171
2014,"Los Angeles County, CA","05000US06037","Southern California University of Health Sciences","117672",89,78
2014,"Los Angeles County, CA","05000US06037","Los Angeles Harbor College","117690",305,531
2014,"Los Angeles County, CA","05000US06037","Los Angeles Pierce College","117706",709,1118
2014,"Los Angeles County, CA","05000US06037","Los Angeles Southwest College","117715",176,453
2014,"Los Angeles County, CA","05000US06037","Los Angeles Trade Technical College","117724",954,670
2014,"Los Angeles County, CA","05000US06037","Los Angeles Valley College","117733",592,1085
2014,"Los Angeles County, CA","05000US06037","The Master's College and Seminary","117751",218,151
2014,"Los Angeles County, CA","05000US06037","Los Angeles City College","117788",498,777
2014,"Los Angeles County, CA","05000US06037","Los Angeles County College of Nursing and Allied Health","117803",17,64
2014,"Los Angeles County, CA","05000US06037","Los Angeles Mission College","117867",352,935
2014,"Los Angeles County, CA","05000US06037","Loyola Marymount University","117946",1155,1857
2014,"Los Angeles County, CA","05000US06037","Marinello Schools of Beauty-Los Angeles","118356",106,1295
2014,"Los Angeles County, CA","05000US06037","Marymount California University","118541",48,57
2014,"Los Angeles County, CA","05000US06037","Kaplan College-North Hollywood","118967",222,278
