year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"New York, NY","16000US3651000","Broadcast Journalism","090402","Bachelor's Degree","5",20
2013,"New York, NY","16000US3651000","Broadcast Journalism","090402","Bachelor's Degree","5",16
2014,"New York, NY","16000US3651000","Broadcast Journalism","090402","Bachelor's Degree","5",17
2015,"New York, NY","16000US3651000","Photojournalism","090404","Bachelor's Degree","5",2
2013,"New York, NY","16000US3651000","Photojournalism","090404","Bachelor's Degree","5",4
2014,"New York, NY","16000US3651000","Photojournalism","090404","Bachelor's Degree","5",1
2013,"New York, NY","16000US3651000","Other Journalism","090499","Bachelor's Degree","5",17
2014,"New York, NY","16000US3651000","Other Journalism","090499","Bachelor's Degree","5",21
2015,"New York, NY","16000US3651000","Radio & Television","090701","Bachelor's Degree","5",72
2013,"New York, NY","16000US3651000","Radio & Television","090701","Bachelor's Degree","5",87
2014,"New York, NY","16000US3651000","Radio & Television","090701","Bachelor's Degree","5",72
2015,"New York, NY","16000US3651000","Digital Communication & Multimedia","090702","Bachelor's Degree","5",36
2013,"New York, NY","16000US3651000","Digital Communication & Multimedia","090702","Bachelor's Degree","5",23
2014,"New York, NY","16000US3651000","Digital Communication & Multimedia","090702","Bachelor's Degree","5",13
2015,"New York, NY","16000US3651000","Other Radio, Television, & Digital Communication","090799","Bachelor's Degree","5",13
2013,"New York, NY","16000US3651000","Other Radio, Television, & Digital Communication","090799","Bachelor's Degree","5",37
2014,"New York, NY","16000US3651000","Other Radio, Television, & Digital Communication","090799","Bachelor's Degree","5",23
2015,"New York, NY","16000US3651000","Advertising","090903","Bachelor's Degree","5",392
2013,"New York, NY","16000US3651000","Advertising","090903","Bachelor's Degree","5",405
2014,"New York, NY","16000US3651000","Advertising","090903","Bachelor's Degree","5",438
2015,"New York, NY","16000US3651000","Other Public Relations, Advertising, & Applied Communication","090999","Bachelor's Degree","5",57
2013,"New York, NY","16000US3651000","Other Public Relations, Advertising, & Applied Communication","090999","Bachelor's Degree","5",62
2014,"New York, NY","16000US3651000","Other Public Relations, Advertising, & Applied Communication","090999","Bachelor's Degree","5",50
2015,"New York, NY","16000US3651000","Other Communication, Journalism, & Related Programs","099999","Bachelor's Degree","5",18
2013,"New York, NY","16000US3651000","Other Communication, Journalism, & Related Programs","099999","Bachelor's Degree","5",20
2014,"New York, NY","16000US3651000","Other Communication, Journalism, & Related Programs","099999","Bachelor's Degree","5",12
2015,"New York, NY","16000US3651000","Communications Technology","100105","Bachelor's Degree","5",12
2013,"New York, NY","16000US3651000","Communications Technology","100105","Bachelor's Degree","5",9
2014,"New York, NY","16000US3651000","Communications Technology","100105","Bachelor's Degree","5",12
2015,"New York, NY","16000US3651000","Photographic & Video Technology","100201","Bachelor's Degree","5",38
2013,"New York, NY","16000US3651000","Photographic & Video Technology","100201","Bachelor's Degree","5",45
2014,"New York, NY","16000US3651000","Photographic & Video Technology","100201","Bachelor's Degree","5",38
2015,"New York, NY","16000US3651000","Radio & Television Broadcasting Technology","100202","Bachelor's Degree","5",11
2013,"New York, NY","16000US3651000","Radio & Television Broadcasting Technology","100202","Bachelor's Degree","5",5
2014,"New York, NY","16000US3651000","Radio & Television Broadcasting Technology","100202","Bachelor's Degree","5",9
2013,"New York, NY","16000US3651000","Prepress Publising & Digital Imaging Design","100303","Bachelor's Degree","5",3
2015,"New York, NY","16000US3651000","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Bachelor's Degree","5",80
2013,"New York, NY","16000US3651000","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Bachelor's Degree","5",69
2014,"New York, NY","16000US3651000","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Bachelor's Degree","5",59
2015,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Bachelor's Degree","5",355
2013,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Bachelor's Degree","5",232
2014,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Bachelor's Degree","5",327
2015,"New York, NY","16000US3651000","Information Technology","110103","Bachelor's Degree","5",89
2014,"New York, NY","16000US3651000","Information Technology","110103","Bachelor's Degree","5",55
2014,"New York, NY","16000US3651000","Other Computer & Information Sciences","110199","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Information Science","110401","Bachelor's Degree","5",379
2013,"New York, NY","16000US3651000","Information Science","110401","Bachelor's Degree","5",418
