year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2014,"Los Angeles County, CA","05000US06037","Public Relations & Image Management","090902","Bachelor's Degree","5",87
2015,"Los Angeles County, CA","05000US06037","Advertising","090903","Bachelor's Degree","5",41
2013,"Los Angeles County, CA","05000US06037","Advertising","090903","Bachelor's Degree","5",76
2014,"Los Angeles County, CA","05000US06037","Advertising","090903","Bachelor's Degree","5",37
2015,"Los Angeles County, CA","05000US06037","International & Intercultural Communication","090907","Bachelor's Degree","5",6
2013,"Los Angeles County, CA","05000US06037","International & Intercultural Communication","090907","Bachelor's Degree","5",4
2014,"Los Angeles County, CA","05000US06037","International & Intercultural Communication","090907","Bachelor's Degree","5",6
2015,"Los Angeles County, CA","05000US06037","Other Public Relations, Advertising, & Applied Communication","090999","Bachelor's Degree","5",21
2013,"Los Angeles County, CA","05000US06037","Other Public Relations, Advertising, & Applied Communication","090999","Bachelor's Degree","5",31
2014,"Los Angeles County, CA","05000US06037","Other Public Relations, Advertising, & Applied Communication","090999","Bachelor's Degree","5",27
2015,"Los Angeles County, CA","05000US06037","Recording Arts Technology","100203","Bachelor's Degree","5",55
2013,"Los Angeles County, CA","05000US06037","Recording Arts Technology","100203","Bachelor's Degree","5",58
2014,"Los Angeles County, CA","05000US06037","Recording Arts Technology","100203","Bachelor's Degree","5",45
2015,"Los Angeles County, CA","05000US06037","General Graphic Communications","100301","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Bachelor's Degree","5",66
2013,"Los Angeles County, CA","05000US06037","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Bachelor's Degree","5",89
2014,"Los Angeles County, CA","05000US06037","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Bachelor's Degree","5",65
2014,"Los Angeles County, CA","05000US06037","Other Graphic Communications","100399","Bachelor's Degree","5",1
2015,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Bachelor's Degree","5",87
2013,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Bachelor's Degree","5",58
2014,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Bachelor's Degree","5",75
2015,"Los Angeles County, CA","05000US06037","Information Technology","110103","Bachelor's Degree","5",156
2013,"Los Angeles County, CA","05000US06037","Information Technology","110103","Bachelor's Degree","5",186
2014,"Los Angeles County, CA","05000US06037","Information Technology","110103","Bachelor's Degree","5",116
2015,"Los Angeles County, CA","05000US06037","Other Computer & Information Sciences","110199","Bachelor's Degree","5",63
2013,"Los Angeles County, CA","05000US06037","Other Computer & Information Sciences","110199","Bachelor's Degree","5",23
2014,"Los Angeles County, CA","05000US06037","Other Computer & Information Sciences","110199","Bachelor's Degree","5",40
2013,"Los Angeles County, CA","05000US06037","Other Computer Programming","110299","Bachelor's Degree","5",62
2014,"Los Angeles County, CA","05000US06037","Information Science","110401","Bachelor's Degree","5",25
2015,"Los Angeles County, CA","05000US06037","Computer Systems Analysis","110501","Bachelor's Degree","5",110
2013,"Los Angeles County, CA","05000US06037","Computer Systems Analysis","110501","Bachelor's Degree","5",104
2014,"Los Angeles County, CA","05000US06037","Computer Systems Analysis","110501","Bachelor's Degree","5",124
2015,"Los Angeles County, CA","05000US06037","Computer Science","110701","Bachelor's Degree","5",639
2013,"Los Angeles County, CA","05000US06037","Computer Science","110701","Bachelor's Degree","5",441
2014,"Los Angeles County, CA","05000US06037","Computer Science","110701","Bachelor's Degree","5",599
2015,"Los Angeles County, CA","05000US06037","Web Page, Digital, & Information Resource Design","110801","Bachelor's Degree","5",87
2013,"Los Angeles County, CA","05000US06037","Web Page, Digital, & Information Resource Design","110801","Bachelor's Degree","5",106
2014,"Los Angeles County, CA","05000US06037","Web Page, Digital, & Information Resource Design","110801","Bachelor's Degree","5",115
2015,"Los Angeles County, CA","05000US06037","Computer Graphics","110803","Bachelor's Degree","5",20
2013,"Los Angeles County, CA","05000US06037","Computer Graphics","110803","Bachelor's Degree","5",81
2014,"Los Angeles County, CA","05000US06037","Computer Graphics","110803","Bachelor's Degree","5",82
2015,"Los Angeles County, CA","05000US06037","Modeling, Virtual Environments, & Simulation","110804","Bachelor's Degree","5",25
2013,"Los Angeles County, CA","05000US06037","Modeling, Virtual Environments, & Simulation","110804","Bachelor's Degree","5",36
2014,"Los Angeles County, CA","05000US06037","Modeling, Virtual Environments, & Simulation","110804","Bachelor's Degree","5",25
2015,"Los Angeles County, CA","05000US06037","Other Computer Software & Media Applications","110899","Bachelor's Degree","5",31
2014,"Los Angeles County, CA","05000US06037","Other Computer Software & Media Applications","110899","Bachelor's Degree","5",56
2015,"Los Angeles County, CA","05000US06037","Computer Systems Networking & Telecommunications","110901","Bachelor's Degree","5",124
2013,"Los Angeles County, CA","05000US06037","Computer Systems Networking & Telecommunications","110901","Bachelor's Degree","5",113
2014,"Los Angeles County, CA","05000US06037","Computer Systems Networking & Telecommunications","110901","Bachelor's Degree","5",112
2014,"Los Angeles County, CA","05000US06037","System, Networking, & LAN/WAN Management","111002","Bachelor's Degree","5",42
